Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,formatted_address
Rodrigues (VUP),Jamaica Plain,02130,2,2,0,1.0,1.0,0.0,1,1,0.0,Rental,Private,,,"673 Centre St, Boston, MA 02130, United States"
Rollins Square - Parcel 32C,South End,02118,184,37,147,74.0,0.0,74.0,110,37,73.0,Ownership/Rental,Private,?,,"2 Rollins St, Boston, MA 02118, United States"
Rope Walk Complex,Charlestown,02129,97,97,0,84.0,84.0,0.0,13,13,0.0,Rental,Private,,,"58 13th St, Boston, MA 02129, United States"
Roslindale Commons Condominiums,Roslindale,02131,12,0,12,11.0,0.0,11.0,1,0,1.0,Ownership,Private,,,"13 Marion St, Roslindale, MA 02131, United States"
Roslindale School,Roslindale,02131,84,84,0,0.0,0.0,0.0,84,84,0.0,Rental,Private,Y,Y,"515 Hyde Park Ave, Boston, MA 02131, United States"
Roslindale Senior NP Hsg,Roslindale,02131,80,80,0,1.0,1.0,0.0,79,79,0.0,Rental,Private,Y,,
Roslyn/Cliffmont,Roslindale,02131,118,118,0,0.0,0.0,0.0,118,118,0.0,Rental,Public,Y,,"1 Cliffmont St, Boston, MA 02131, United States"
Roxbury Corners Coop,Roxbury,02118,54,54,0,13.0,13.0,0.0,41,41,0.0,Rental,Private,,,"134 Northampton St, Roxbury, MA 02118, United States"
Roxbury Crossing Senior Building,Mission Hill,02120,40,40,0,1.0,1.0,0.0,39,39,0.0,Rental,Private,Y,,"30 Gurney St, Boston, MA 02120, United States"
Roxbury Tenants of Harvard,Mission Hill,02115,20,20,0,7.0,7.0,0.0,13,13,0.0,Rental,Private,,,"11 New Whitney St, Boston, MA 02115, United States"
Roxse Homes,Roxbury,02118,346,346,0,0.0,0.0,0.0,346,346,0.0,Rental,Private,,Y,"1050 Tremont St, Boston, MA 02120, United States"
R-Prospect St,Charlestown,02129,14,0,14,11.0,0.0,11.0,3,0,3.0,Ownership,Private,,,"Prospect St, Boston, MA 02129, USA"
RTH Restoration Housing,Mission Hill,02115,81,81,0,0.0,0.0,0.0,81,81,0.0,Rental,Private,Y,Y,"1 Fenwood Rd, Boston, MA 02115, United States"
Ruggles Shawmut Housing,Roxbury,02119,43,43,0,0.0,0.0,0.0,43,43,0.0,Rental,Private,?,Y,"41 Ruggles St, Roxbury, MA 02119, United States"
Rutherford Landing,Charlestown,02129,18,18,0,16.0,16.0,0.0,2,2,0.0,Rental,Private,,,"463 Rutherford Ave, Boston, MA 02129, United States"
Rutland Square,South End,02118,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,,"Rutland Square, Boston, MA 02118, USA"
Rutland/East Springfield St (2-74),South End,02118,13,13,0,0.0,0.0,0.0,13,13,0.0,Rental,Public,,,"2 E Springfield St, Boston, MA 02118, USA"
S Boston Hsg Initiative- Habitat,South Boston,02127,7,0,7,0.0,0.0,0.0,7,0,7.0,Ownership,Private,,,"273 D St, Boston, MA 02127, United States"
Safe Haven,Back Bay,02116,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,"15 Newbury St, Boston, MA 02116, United States"
Sarah Baker Manor,Roxbury,02119,41,41,0,0.0,0.0,0.0,41,41,0.0,Rental,Private,Y,Y,"33 Perrin St, Boston, MA 02119, United States"
Saratoga Heights,East Boston,02128,21,0,21,18.0,0.0,18.0,3,0,3.0,Ownership,Private,,,"Saratoga St, Massachusetts, USA"
Sargent Prince SRO,Roxbury,02119,29,29,0,0.0,0.0,0.0,29,29,0.0,Rental,Private,,,
Sargent Street Homes - Home Again,Roxbury,02125,16,5,11,0.0,0.0,0.0,16,5,11.0,Ownership/Rental,Private,,,"127 Pleasant St, Dorchester, MA 02125, United States"
Savin Hill Apartments,Dorchester,02125,132,132,0,0.0,0.0,0.0,132,132,0.0,Rental,Private,Y,Y,"130 Auckland St, Boston, MA 02125, United States"
Savin Maywood Init. (Phase II),Roxbury,02119,8,0,8,0.0,0.0,0.0,8,0,8.0,Ownership,Private,,,
Savin/Creston Project,Roxbury,02119,28,28,0,2.0,2.0,0.0,26,26,0.0,Rental,Private,,,"Savin St, Boston, MA 02119, USA"
Savin/Maywood (Phase III) - Home Again,Roxbury,02119,5,0,5,0.0,0.0,0.0,5,0,5.0,Ownership,Private,,,
Scattered Site Coop,Jamaica Plain,02130,18,18,0,3.0,3.0,0.0,15,15,0.0,Cooperative,Private,,,"111 Perkins St, Boston, MA 02130, United States"
School House 77,Roxbury,02119,38,38,0,0.0,0.0,0.0,38,38,0.0,Rental,Private,?,,"610 Cummins Hwy, Mattapan, MA 02126, United States"
Schoolhouse Brookledge,Mattapan,02126,90,90,0,0.0,0.0,0.0,90,90,0.0,Rental,Private,Y,Y,"610 Cummins Hwy, Mattapan, MA 02126, United States"
Seaport Square Parcels B & C,South Boston Waterfront,02210,832,832,0,736.0,736.0,0.0,96,96,0.0,Rental,Private,,,
SECD Housing,Roxbury,02118,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,Y,"345 Harrison Ave, Boston, MA 02118, United States"
SECHC Cumston St,South End,02118,58,0,58,51.0,0.0,51.0,7,0,7.0,Ownership,Private,,,"1601 Washington St, Boston, MA 02118, United States"
SETH APARTMENTS I,South End,02118,185,185,0,0.0,0.0,0.0,185,185,0.0,Rental,Private,,Y,"792 Tremont St #1051, Boston, MA 02118, United States"
Seton Manor,Brighton,02135,19,19,0,0.0,0.0,0.0,19,19,0.0,Rental,Private,,,"1000 Seton Dr, Orwigsburg, PA 17961, United States"
Shalom Properties,East Boston,02128,30,30,0,0.0,0.0,0.0,30,30,0.0,Rental,Private,,,"78 Bennington St, Boston, MA 02128, United States"
Shawmut Ave Lodging House,South End,02118,15,15,0,0.0,0.0,0.0,15,15,0.0,Rental,Private,,,"592 Tremont St, Boston, MA 02118, United States"
Shawmut Estates (p/o Orchard Park offsite Phase 3 HO),Roxbury,02119,15,0,15,0.0,0.0,0.0,15,0,15.0,Ownership,Private,,,
Shore Plaza East,East Boston,02128,380,380,0,0.0,0.0,0.0,380,380,0.0,Rental,Private,,Y,"600 Border St, East Boston, MA 02128, United States"
Signal Building,South Boston,02127,75,0,75,66.0,0.0,66.0,9,0,9.0,Ownership,Private,,,"154 W 2nd St, Boston, MA 02127, United States"
Singleton (VUP),East Boston,02128,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"Copley Square, Boston, MA 02116, United States"
Siochain II,East Boston,02128,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,
Siochain Rental Rehab Project I,East Boston,02128,12,12,0,1.0,1.0,0.0,11,11,0.0,Rental,Private,,,
Sister Clara Co-op,Dorchester,02125,25,25,0,0.0,0.0,0.0,25,25,0.0,Rental,Private,,,"150 Magnolia St # A, Dorchester, MA 02125, United States"
Six55 Condominium,South Boston,02127,18,0,18,16.0,0.0,16.0,2,0,2.0,Ownership,Private,,,
Smith House,Roxbury,02119,132,132,0,0.0,0.0,0.0,132,132,0.0,Rental,Private,Y,,"757 Shawmut Ave, Roxbury, MA 02119, United States"
"Smith, Steven (VUP)",Dorchester,02121,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,"1100 Washington St Ste: 200-201, Dorchester Center, MA 02124, United States"
Soares (VUP),Roxbury,02125,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,
"Sonoma, Maple, Schuyler",Roxbury,02121,115,115,0,15.0,15.0,0.0,100,100,0.0,Rental,Private,,Y,"1 Maple Ct B, Boston, MA 02121, United States"
Sophia Snow House,West Roxbury,02132,102,102,0,0.0,0.0,0.0,102,102,0.0,Rental,Private,?,,"1205-1215 Centre St, West Roxbury, MA 02132, United States"
South Bay Mixed-Use Town Center (Building D),Dorchester,02125,260,260,0,226.0,226.0,0.0,34,34,0.0,Rental,Private,,,"8 Allstate Rd, Boston, MA 02118, United States"
South Boston Coop Svc Hsg,South Boston,02127,65,65,0,0.0,0.0,0.0,65,65,0.0,Rental,Private,Y,,"225 W 2nd St, South Boston, MA 02127, United States"
South Boston Elderly Housing,South Boston,02127,50,50,0,0.0,0.0,0.0,50,50,0.0,Rental,Private,Y,,"120 H St, Boston, MA 02127, United States"
South Boston Housing Initiative - Cityside,South Boston,02127,5,0,5,0.0,0.0,0.0,5,0,5.0,Ownership,Private,,,
South Boston Portfolio,South Boston,02127,27,27,0,0.0,0.0,0.0,27,27,0.0,Rental,Private,,,"315 W Broadway, Boston, MA 02127, United States"
South Cove Apts,Downtown,02109,231,231,0,2.0,2.0,0.0,229,229,0.0,Rental,Private,Y,Y,"285 Tremont St, Boston, MA 02116, United States"
South End Apartments,Roxbury,02120,27,27,0,0.0,0.0,0.0,27,27,0.0,Rental,Private,,Y,"781 Tremont St, Boston, MA 02118, United States"
SOUTH END APARTMENTS RENOVATION PROJECT,Roxbury,02118,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,,"781 Tremont St, Boston, MA 02118, United States"
South End CHC,South End,02118,60,2,58,54.0,0.0,54.0,6,2,4.0,Ownership/Rental,Private,,,"1601 Washington St, Boston, MA 02118, United States"
South End Coop. Housing,South End,02118,75,75,0,2.0,2.0,0.0,73,73,0.0,Rental,Private,,,"163 W Springfield St # A, Boston, MA 02118, United States"
South End Tenants I,South End,02118,100,100,0,0.0,0.0,0.0,100,100,0.0,Rental,Private,Y,Y,"23 Wellington St, Boston, MA 02118, United States"
South End Tenants II,South End,02116,185,185,0,0.0,0.0,0.0,185,185,0.0,Rental,Private,,Y,"29 Rutland Square, Boston, MA 02118, United States"
South Street (200-12),Jamaica Plain,02130,132,132,0,0.0,0.0,0.0,132,132,0.0,Rental,Public,,,"200 South St, Boston, MA 02130, USA"
Southwest Crossing Condominium,Roslindale,02131,12,0,12,8.0,0.0,8.0,4,0,4.0,Ownership/Rental,Private,,,"100 Shawmut Ave, Boston, MA 02118, United States"
Spencer House,Jamaica Plain,02119,46,46,0,0.0,0.0,0.0,46,46,0.0,Rental,Private,Y,,"Spencer House, Boston, MA 02119, USA"
Spring/Temple St (2-70),West Roxbury,02132,104,104,0,0.0,0.0,0.0,104,104,0.0,Rental,Public,Y,,
St Botolph Apts (2-53),Back Bay,02116,132,132,0,0.0,0.0,0.0,132,132,0.0,Rental,Public,Y,,"81 St Botolph St, Boston, MA 02116, United States"
St Botolph St. Assisted Living Community,Back Bay,02118,82,82,0,28.0,28.0,0.0,54,54,0.0,Rental,Private,Y,,"352 Massachusetts Ave, Boston, MA 02115, United States"
St Botolph Street Apts,Back Bay,02115,135,135,0,43.0,43.0,0.0,92,92,0.0,Rental,Private,,Y,"81 St Botolph St, Boston, MA 02116, United States"
St Botolph Terrace,Fenway,02115,52,52,0,0.0,0.0,0.0,52,52,0.0,Rental,Private,,Y,"353 Massachusetts Ave, Boston, MA 02115, United States"
St Cecilia's House,Fenway,02115,123,123,0,0.0,0.0,0.0,123,123,0.0,Rental,Private,Y,,"108 Kilmarnock St, Boston, MA 02215, United States"
St Gabriel's,Brighton,02135,670,559,111,572.0,476.0,96.0,98,83,15.0,Rental,Private,,,"159 Washington St #201, Boston, MA 02135, United States"
St Helena House,South End,02118,74,74,0,1.0,1.0,0.0,73,73,0.0,Rental,Private,Y,Y,"89 Un Pk St, Boston, MA 02118, United States"
St James Estate Condominium,Roxbury,02119,22,0,22,14.0,0.0,14.0,8,0,8.0,Ownership,Private,,,"1 St James Pl, Boston, MA 02119, United States"
St John of God - Market & Clergy,Brighton,02135,92,8,84,84.0,0.0,84.0,8,8,0.0,Ownership/Rental,Private,,,
St Josephs Housing,Roxbury,02119,137,137,0,32.0,32.0,0.0,105,105,,Rental,Private,,Y,"86 Crispus Attucks Pl, Roxbury, MA 02119, United States"
St Kevin's,Dorchester,02125,80,80,0,0.0,0.0,0.0,80,80,0.0,Rental,Private,,,"516 Columbia Rd, Boston, MA 02125, United States"
St Peter and Paul Church and Rectory,South Boston,02127,44,0,44,37.0,0.0,37.0,7,0,7.0,Ownership,Private,,,"75 Flaherty Way, South Boston, MA 02127, United States"
Stadia 50,Brighton,02135,46,0,46,40.0,0.0,40.0,6,0,6.0,Ownership,Private,,,"50 Hichborn St, Boston, MA 02134, United States"
Stafford Heights/New Boston Coop,Roxbury,02119,41,41,0,0.0,0.0,0.0,41,41,0.0,Cooperative,Private,,,"13 Stafford St, Boston, MA 02119, United States"
Stanwood Homes - Home Again,Dorchester,02121,19,7,12,0.0,0.0,0.0,19,7,12.0,Ownership/Rental,Private,,,"Stanwood St, Boston, MA 02121, USA"
Stille (VUP),South Boston,02127,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,
Stonewall at Audubon Circle Phase I,Fenway,02215,53,0,53,48.0,0.0,48.0,5,0,5.0,Ownership,Private,,,"Audubon Circle, Boston, MA 02215, United States"
Stony Brook Gardens/ Chestnut-Lamartine,Jamaica Plain,02130,50,50,0,0.0,0.0,0.0,50,50,0.0,Cooperative,Private,,,"97 Lamartine St, Boston, MA 02130, United States"
Stony Brook Village (formerly Canterbury Hts),Roslindale,02136,98,98,0,0.0,0.0,0.0,98,98,0.0,Rental,Private,,,"150 Clare Ave # 6A, Hyde Park, MA 02136, United States"
Strada 234,West End,02114,108,108,0,88.0,88.0,0.0,20,20,0.0,Rental,Private,,,"234 Causeway St, Boston, MA 02114, United States"
Strathcona Arms (p/o Ten Most Wanted),Dorchester,02121,14,14,0,0.0,0.0,0.0,14,14,0.0,Rental,Private,,,
Sullivan (VUP),Dorchester,02121,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,"74 Lawley St #1, Dorchester, MA 02122, United States"
Sumner Court,Dorchester,02125,10,0,10,0.0,0.0,0.0,10,0,10.0,Ownership,Private,,,"Sumner St, Boston, MA 02125, USA"
Sumner Hill House,Jamaica Plain,02130,75,0,75,45.0,0.0,45.0,30,0,30.0,Rental,Private,,,"76 Elm St, Jamaica Plain, MA 02130, United States"
Suppressed1,South End,02118,17,17,0,0.0,0.0,0.0,17,17,0.0,Rental,Private,,,
Suppressed10,Dorchester,02124,11,11,0,0.0,0.0,0.0,11,11,0.0,Rental,Private,,,
Suppressed11,Fenway,02115,75,75,0,0.0,0.0,0.0,75,75,0.0,Rental,Private,Y,,
Suppressed12,Roxbury,02119,20,20,0,0.0,0.0,0.0,20,20,0.0,Rental,Private,,,
Suppressed13,Fenway,02215,16,16,0,0.0,0.0,0.0,16,16,0.0,Rental,Private,,,
Suppressed14,Jamaica Plain,02119,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,
Suppressed15,Brighton,02135,18,18,0,0.0,0.0,0.0,18,18,0.0,Rental,Private,,,
Suppressed16,South End,02118,15,15,0,0.0,0.0,0.0,15,15,0.0,Rental,Private,,,
Suppressed17,East Boston,02128,18,18,0,0.0,0.0,0.0,18,18,0.0,Rental,Private,,,
Suppressed18,Dorchester,02122,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,,
Suppressed19,Dorchester,02122,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,
Suppressed2,Roxbury,02120,75,75,0,0.0,0.0,0.0,75,75,0.0,Rental,Private,,,
Suppressed20,Dorchester,02125,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,
Suppressed21,South End,02118,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,
Suppressed22,Roxbury,02119,23,23,0,0.0,0.0,0.0,23,23,0.0,Rental,Private,,,
Suppressed23,Dorchester,02124,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,,
Suppressed24,Dorchester,02124,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,,
Suppressed25,Dorchester,02124,11,11,0,1.0,1.0,0.0,10,10,0.0,Rental,Private,,,
Suppressed26,Downtown,02116,56,56,0,0.0,0.0,0.0,56,56,0.0,Rental,Private,,,
Suppressed27,Brighton,02135,102,102,0,33.0,33.0,0.0,69,69,0.0,Rental,Private,Y,,
Suppressed28,Jamaica Plain,02130,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,
Suppressed29,Mattapan,02126,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,,
Suppressed3,Allston,02134,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,
Suppressed30,Roxbury,02125,13,13,0,0.0,0.0,0.0,13,13,0.0,Rental,Private,,,
Suppressed31,Beacon Hill,02114,120,120,0,0.0,0.0,0.0,120,120,0.0,Rental,Private,,,
Suppressed32,Roxbury,02119,19,19,0,0.0,0.0,0.0,19,19,0.0,Rental,Private,,,
Suppressed33,Beacon Hill,02114,21,21,0,1.0,1.0,0.0,20,20,0.0,Rental,Private,,Y,
Suppressed34,Mattapan,02126,48,48,0,0.0,0.0,0.0,46,46,0.0,Rental,Public,Y,,
Suppressed35,Roxbury,02119,131,131,0,0.0,0.0,0.0,131,131,0.0,Rental,Private,,Y,
Suppressed36,Fenway,02115,48,48,0,0.0,0.0,0.0,48,48,0.0,Rental,Private,,Y,
Suppressed4,Dorchester,02125,9,9,0,1.0,1.0,0.0,8,8,0.0,Rental,Private,,Y,
Suppressed5,Dorchester,02125,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,
Suppressed6,West Roxbury,02132,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,,
Suppressed7,Charlestown,02129,25,25,0,0.0,0.0,0.0,25,25,0.0,Rental,Private,,,
Suppressed8,Fenway,02115,14,14,0,1.0,1.0,0.0,13,13,0.0,Rental,Private,,,
Suppressed9,Roxbury,02119,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,,
Symphony Court at Burbank Street,Fenway,02115,34,0,34,32.0,0.0,32.0,2,0,2.0,Ownership,Private,,,"41-43 Westland Ave, Boston, MA 02115, United States"
Symphony Plaza East,Back Bay,02115,188,188,0,0.0,0.0,0.0,188,188,0.0,Rental,Private,Y,Y,"334 Massachusetts Ave, Boston, MA 02115, United States"
Symphony Plaza West,Fenway,02115,216,216,0,0.0,0.0,0.0,216,216,0.0,Rental,Private,Y,Y,"334 Massachusetts Ave, Boston, MA 02115, United States"
TAB I,Dorchester,02125,71,71,0,0.0,0.0,0.0,71,71,0.0,Rental,Private,Y,Y,"38 Newbury St UNIT 702, Boston, MA 02116, United States"
TAB II,Jamaica Plain,02119,68,68,0,1.0,1.0,0.0,67,67,0.0,Rental,Private,,Y,
TAB II?,Dorchester,02125,98,98,0,0.0,0.0,0.0,98,98,0.0,Rental,Private,,,"65R Boston St Suite 100, Dorchester, MA 02125, United States"
Tai Tung Village,Chinatown,02111,215,215,0,1.0,1.0,0.0,214,214,0.0,Rental,Private,,Y,"230 Harrison Ave, Boston, MA 02111, United States"
Taino Tower,South End,02118,27,0,27,12.0,0.0,12.0,15,0,15.0,Ownership,Private,,,"640 Tremont St, Boston, MA 02118, United States"
Talbot Commons Phase 1,Dorchester,02124,40,40,0,21.0,21.0,0.0,19,19,0.0,Rental,Private,,,
Talbot/Bernard (Elderly) 202,Dorchester,02124,31,31,0,1.0,1.0,0.0,30,30,0.0,Rental,Private,Y,Y,"193 Talbot Ave, Boston, MA 02124, United States"
Talbot/Bernard (Rental),Dorchester,02124,44,44,0,0.0,0.0,0.0,44,44,0.0,Rental,Private,,,"193 Talbot Ave, Boston, MA 02124, United States"
Tate (VUP),Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"40 Warren St, Boston, MA 02129, United States"
Taurus Apts,Roxbury,02121,38,38,0,0.0,0.0,0.0,38,38,0.0,Rental,Private,,Y,"754 Blue Hill Avenue, Dorchester, MA 02121, United States"
Taurus at Fountain Hill,Roxbury,02119,73,73,0,0.0,0.0,0.0,73,73,0.0,Rental,Private,,Y,"143 Shirley St, Boston, MA 02119, United States"
TDC III,South End,02118,61,61,0,46.0,46.0,0.0,15,15,0.0,Rental,Private,,,"434 Massachusetts Ave, Boston, MA 02118, United States"
Tebroc Levant (HOME AGAIN),Dorchester,02124,5,1,4,0.0,0.0,0.0,5,1,4.0,Ownership/Rental,Private,,,
Telford 180 (Formerly Charlesview Telford),Brighton,02135,85,0,85,79.0,0.0,79.0,6,0,6.0,Ownership,Private,,,"404 Western Ave, Boston, MA 02134, United States"
Ten Most Wanted - 1,Dorchester,02121,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,
Ten Most Wanted - 10,Roxbury,02125,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,
Ten Most Wanted - 11,Dorchester,02121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,
Ten Most Wanted - 12,Roxbury,02125,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,
Ten Most Wanted - 13,Roxbury,02119,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,
Ten Most Wanted - 14,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,
Ten Most Wanted - 15,Roxbury,02125,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,
Ten Most Wanted - 2,Mattapan,02126,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,
Ten Most Wanted - 3,Roxbury,02119,4,2,2,0.0,0.0,0.0,4,2,2.0,Ownership/Rental,Private,,,
Ten Most Wanted - 4,Dorchester,02122,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"315 Adams St, Dorchester, MA 02122, United States"
Ten Most Wanted - 5,Dorchester,02121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,
Ten Most Wanted - 6,Dorchester,02121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,
Ten Most Wanted - 7,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,,
Ten Most Wanted - 8,Dorchester,02121,3,2,1,2.0,2.0,0.0,1,0,1.0,Ownership,Private,,,
Ten Most Wanted - 9,Dorchester,02121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,
Tent City,South End,02116,270,270,0,0.0,0.0,0.0,270,270,0.0,Rental,Private,,,"130 Dartmouth St, Boston, MA 02116, United States"
Thane St Apts,Dorchester,02124,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,Y,"587 Washington St, Boston, MA 02124, United States"
The 1850 Condominium,South End,02118,87,0,87,76.0,0.0,76.0,11,0,11.0,Ownership,Private,,,"90 Wareham St, Boston, MA 02118, United States"
The Aberdeen,Brighton,02125,40,0,40,35.0,0.0,35.0,5,0,5.0,Ownership,Private,,,"1650 Commonwealth Ave, Boston, MA 02135, United States"
The Anchorage,Charlestown,02129,112,112,0,89.0,89.0,0.0,23,23,0.0,Rental,Private,Y,,"103 9th St, Charlestown, MA 02129, United States"
The Andi (South Bay Town Center Building C),Dorchester,02125,215,215,0,187.0,187.0,0.0,28,28,0.0,Rental,Private,,,"4 Lucy St, Boston, MA 02125, United States"
The Beverly,West End,02114,239,239,0,0.0,0.0,0.0,239,239,0.0,Rental,Private,,,"101 Beverly St, Boston, MA 02114, United States"
The Boulevard,Downtown,02110,36,0,36,31.0,0.0,31.0,5,0,5.0,Ownership,Private,,,"Atlantic Ave, Boston, MA 02110, United States"
The Brownstones,South End,02116,35,35,0,28.0,28.0,0.0,7,7,0.0,Rental,Private,,,"111 Dartmouth St, Boston, MA 02116, United States"
The Bryant,South End,02116,50,0,50,48.0,0.0,48.0,2,0,2.0,Ownership,Private,,,"303 Columbus Ave, Boston, MA 02116, United States"
The Bulfinch,Mission Hill,02120,5,5,0,0.0,0.0,0.0,5,5,0.0,Ownership,Private,,,"116 Huntington Ave, Boston, MA 02116, United States"
The Carillon,Fenway,02115,31,30,1,30.0,30.0,0.0,1,0,1.0,Ownership/Rental,Private,,,"185 Massachusetts Ave, Boston, MA 02115, United States"
The Chester,South End,02118,17,17,0,7.0,7.0,0.0,10,10,0.0,Rental,Private,,Y,"Chester Park, Boston, MA 02118, USA"
The Clarendon,Back Bay,02116,285,178,107,248.0,142.0,106.0,37,36,1.0,Ownership/Rental,Private,,,"400 Stuart St, Boston, MA 02116, United States"
The Clarion,Roxbury,02121,39,39,0,7.0,7.0,0.0,32,32,0.0,Rental,Private,,,"311 Blue Hill Avenue, Boston, MA 02121, United States"
The Commons at Forest Hills,Jamaica Plain,02130,283,283,0,243.0,243.0,0.0,40,40,0.0,Rental,Private,,,"199 Forest Hills St, Boston, MA 02130, United States"
The Dorchester,Mattapan,02126,47,47,0,0.0,0.0,0.0,47,47,0.0,Rental,Private,?,Y,"Boston, MA 02126, USA"
The Edge,Allston,02134,79,79,0,69.0,69.0,0.0,10,10,0.0,Rental,Private,,,"219 Newbury St, Boston, MA 02116, United States"
The Graphic,Charlestown,02129,171,171,0,148.0,148.0,0.0,23,23,0.0,Rental,Private,,,"32 Cambridge St, Charlestown, MA 02129, United States"
The Harmon Apartments (Boston Home Group),Dorchester,02124,36,0,36,6.0,0.0,6.0,30,30,0.0,Rental,Private,,,"2045 Dorchester Ave, Boston, MA 02124, United States"
The Harvey,Charlestown,02129,177,177,0,154.0,154.0,0.0,23,23,0.0,Rental,Private,,,"50 Hood Park Dr, Boston, MA 02129, United States"
The Homes at Roxbury Crossing,Mission Hill,02120,22,0,22,0.0,0.0,0.0,22,0,22.0,Ownership,Private,,,"1050 Tremont St, Boston, MA 02120, United States"
The Lancaster,Brighton,02134,55,0,55,37.0,0.0,37.0,18,0,18.0,Ownership,Private,,,"1501 Commonwealth Ave, Brighton, MA 02135, United States"
The Macallen,South Boston,02127,144,0,144,124.0,0.0,124.0,20,0,20.0,Ownership,Private,,,"141 Dorchester Ave, Boston, MA 02127, United States"
The Mark at DeNormanie Wharf,East Boston,02128,107,0,107,101.0,0.0,101.0,6,0,6.0,Ownership,Private,,,"99 Sumner St, Boston, MA 02128, United States"
The Melnea (Parcel 9/Residential),Roxbury,02119,50,50,0,43.0,43.0,0.0,7,7,0.0,Rental,Private,,,"431 Melnea Cass Blvd, Boston, MA 02119, United States"
The Metropolitan,Chinatown,02111,251,133,118,136.0,52.0,84.0,115,81,34.0,Ownership/Rental,Private,,Y,"1 Nassau St, Boston, MA 02111, United States"
The Modern,Roxbury,02118,62,0,62,53.0,0.0,53.0,9,0,9.0,Ownership,Private,,,"255 Northampton St, Roxbury, MA 02118, United States"
The Mt Vernon,Allston,02134,7,7,0,5.0,5.0,0.0,2,2,0.0,Rental,Private,,,"1200 Soldiers Field Rd suite 102, Boston, MA 02134, United States"
The Nautica,Charlestown,02129,117,0,117,105.0,0.0,105.0,12,0,12.0,Ownership,Private,,,"88 Constitution Rd, Boston, MA 02129, United States"
The Pierce,Fenway,02215,349,240,109,307.0,68.0,239.0,42,41,1.0,Ownership/Rental,Private,,,"200 Brookline Ave, Boston, MA 02215, United States"
The Radian,Chinatown,02111,240,240,0,235.0,235.0,0.0,5,5,0.0,Rental,Private,,,"120 Kingston St, Boston, MA 02111, United States"
The Residences At Forest Hills,Jamaica Plain,02130,250,250,0,200.0,200.0,0.0,50,50,0.0,Rental,Private,,,"95 Hyde Park Ave, Boston, MA 02130, United States"
The Residences at St. Augustine,South Boston,02127,29,0,29,25.0,0.0,25.0,4,0,4.0,Ownership,Private,,,
The Residences at West Broadway,South Boston,02127,139,139,0,122.0,122.0,0.0,17,17,0.0,Rental,Private,,,"50 W Broadway, Boston, MA 02127, United States"
