Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,formatted_address
Blake Estates II,Hyde Park,02136,88,88,0,0.0,0.0,0.0,88,88,0.0,Rental,Private,Y,Y,"1344 Hyde Park Ave, Hyde Park, MA 02136, United States"
Blandino Farms,Dorchester,02124,16,0,16,14.0,0.0,14.0,2,0,2.0,Ownership,Private,,,
Blessed Sacrament Mixed-Use (Rental + SRO),Jamaica Plain,02130,65,65,0,0.0,0.0,0.0,65,65,0.0,Rental,Private,,,"31 Germania Street, Building A, Jamaica Plain, MA 02130, United States"
Bloomfield Gardens,Dorchester,02124,27,27,0,0.0,0.0,0.0,27,27,0.0,Rental,Private,,,"Bloomfield St, Boston, MA 02124, USA"
Blue Hill Commons,Roxbury,02119,8,1,7,0.0,0.0,0.0,8,1,7.0,Ownership/Rental,Private,,,"Blue Hill Commons Condominiums, 3000 Davenport Ave, Canton, MA 02021, USA"
Blue Mountain Assoc.,Roxbury,02121,217,217,0,0.0,0.0,0.0,217,217,0.0,Rental,Private,,Y,"457 Blue Hill Avenue, Boston, MA 02126, United States"
Border Falcon Condominiums,East Boston,02128,14,0,14,0.0,0.0,0.0,14,0,14.0,Ownership,Private,,,"301 Border St, Boston, MA 02128, United States"
Boston East,East Boston,02128,200,200,0,174.0,174.0,0.0,26,26,0.0,Rental,Private,,,"126 Border St, Boston, MA 02128, United States"
Boston Kenmore Realty LLC,Leather District,02111,54,0,54,49.0,0.0,49.0,5,0,5.0,Ownership,Private,,,"474 Commonwealth Ave, Boston, MA 02215, United States"
Boston Landing,Brighton,02135,295,295,0,257.0,257.0,0.0,38,38,0.0,Rental,Private,,,"Boston, MA 02135, United States"
Boston Rehab,Fenway,02115,144,144,0,0.0,0.0,0.0,144,144,0.0,Rental,Private,Y,Y,"940 Commonwealth Ave, Boston, MA 02215, United States"
Boston Trailer Park Tenants,West Roxbury,02132,104,104,0,26.0,26.0,0.0,78,78,0.0,Rental,Private,,,"1515 VFW Pkwy, West Roxbury, MA 02132, United States"
Boston Wharf Tower,South Boston Waterfront,02127,202,202,0,180.0,180.0,0.0,22,22,0.0,Rental,Private,,,"65-85 E India Row, Boston, MA 02110, United States"
Boston's Hope in Dorchester,Dorchester,02124,41,41,0,0.0,0.0,0.0,41,41,0.0,Rental,Private,Y,,"71 Kingsdale St, Dorchester Center, MA 02124, United States"
Bowditch School Lodging House,Jamaica Plain,02130,46,46,0,0.0,0.0,0.0,46,46,0.0,Rental,Private,,,"43 Loring Ave, Salem, MA 01970, United States"
Bowdoin Geneva Phase III (HOME AGAIN),Dorchester,02122,20,2,18,0.0,0.0,0.0,20,2,18.0,Ownership/Rental,Private,,,"200 Bowdoin St, Dorchester, MA 02122, United States"
Bowdoin Place,Downtown,02114,75,0,75,56.0,0.0,56.0,19,0,19.0,Ownership,Private,Y,,"Bowdoin St, Boston, MA 02114, USA"
Bowdoin School,Beacon Hill,02114,35,35,0,0.0,0.0,0.0,35,35,0.0,Rental,Private,Y,Y,"45 Myrtle St, Boston, MA 02114, United States"
Bowdoin/Geneva - HOME AGAIN,Dorchester,02125,7,0,7,0.0,0.0,0.0,7,0,7.0,Ownership,Private,,,
Bowdoin/Geneva (Phase II),Dorchester,02125,10,5,5,2.0,1.0,1.0,8,4,4.0,Ownership/Rental,Private,,,
Bowdoin-Geneva & Dudley FTHB,Dorchester,02125,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,"200 Bowdoin St, Dorchester, MA 02122, United States"
