FILEID,STUSAB,SUMLEV,GEOID,GEOCODE,REGION,DIVISION,STATE,COUNTY,COUSUB,VTD,VTDI,P0020001,P0020005,P0020006,P0020002,P0020008,P0020007,P0020009,P0020010,P0020011,P0040001,P0040005,P0040006,P0040002,P0040008,P0040007,P0040009,P0040010,P0040011
field concept,State/US-Abbreviation (USPS),Summary Level,Geographic Record Identifier,Geographic Code Identifier,Region,Division,State (FIPS),County (FIPS),County Subdivision (FIPS),Voting District,Voting District Indicator,Total:,White alone,Black or African American alone,Hispanic or Latino,Asian alone,American Indian and Alaska Native alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:,Total:,White alone,Black or African American alone,Hispanic or Latino,Asian alone,American Indian and Alaska Native alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:
PLST,MA,710,7100000US2502500070307000,2.50E+15,1,1,25,25,7000,703,A,2512,2307,7,96,35,0,0,7,60,2335,2160,4,87,35,0,0,7,42
PLST,MA,710,7100000US2502500070407000,2.50E+15,1,1,25,25,7000,704,A,2108,1689,73,211,76,2,0,7,50,1873,1557,52,144,70,2,0,6,42
PLST,MA,710,7100000US2502500070507000,2.50E+15,1,1,25,25,7000,705,A,2041,1522,80,198,155,2,1,14,69,1824,1412,54,159,141,2,1,5,50
PLST,MA,710,7100000US2502500070607000,2.50E+15,1,1,25,25,7000,706,A,2216,1187,266,468,190,0,0,12,93,1920,1135,178,351,176,0,0,7,73
PLST,MA,710,7100000US2502500070707000,2.50E+15,1,1,25,25,7000,707,A,2669,486,513,1123,388,12,0,37,110,1962,415,352,767,339,4,0,25,60
PLST,MA,710,7100000US2502500070807000,2.50E+15,1,1,25,25,7000,708,A,2151,1428,135,167,312,8,0,22,79,1930,1314,111,137,280,4,0,22,62
PLST,MA,710,7100000US2502500070907000,2.50E+15,1,1,25,25,7000,709,A,1796,1112,112,242,227,0,0,21,82,1553,1028,88,185,176,0,0,13,63
PLST,MA,710,7100000US2502500071007000,2.50E+15,1,1,25,25,7000,710,A,2414,333,596,502,105,2,0,404,472,1913,300,435,380,91,2,0,335,370
PLST,MA,710,7100000US2502500080107000,2.50E+15,1,1,25,25,7000,801,A,2281,686,508,717,272,0,0,24,74,1877,631,375,535,256,0,0,18,62
PLST,MA,710,7100000US2502500080207000,2.50E+15,1,1,25,25,7000,802,A,4522,2201,839,690,579,16,5,38,154,4203,2076,777,616,559,16,5,38,116
PLST,MA,710,7100000US2502500080307000,2.50E+15,1,1,25,25,7000,803,A,2426,348,897,756,258,4,0,43,120,1992,342,718,567,245,1,0,31,88
PLST,MA,710,7100000US2502500080407000,2.50E+15,1,1,25,25,7000,804,A,1185,56,471,551,25,0,0,24,58,882,49,365,385,23,0,0,11,49
PLST,MA,710,7100000US2502500080507000,2.50E+15,1,1,25,25,7000,805,A,2393,149,748,526,65,2,0,290,613,1799,119,578,352,53,2,0,229,466
PLST,MA,710,7100000US2502500080607000,2.50E+15,1,1,25,25,7000,806,A,987,117,182,259,27,1,1,147,253,791,110,153,191,19,1,1,114,202
PLST,MA,710,7100000US2502500080707000,2.50E+15,1,1,25,25,7000,807,A,1648,113,765,542,23,2,0,50,153,1249,108,591,369,22,0,0,31,128
PLST,MA,710,7100000US2502500090107000,2.50E+15,1,1,25,25,7000,901,A,2545,824,236,808,591,3,1,15,67,2164,765,203,618,519,0,1,12,46
PLST,MA,710,7100000US2502500090207000,2.50E+15,1,1,25,25,7000,902,A,3026,1723,359,457,321,4,0,10,152,2661,1580,307,346,303,3,0,10,112
PLST,MA,710,7100000US2502500090307000,2.50E+15,1,1,25,25,7000,903,A,5100,1157,1534,1695,473,0,2,39,200,4052,1082,1133,1206,448,0,2,31,150
PLST,MA,710,7100000US2502500090407000,2.50E+15,1,1,25,25,7000,904,A,6143,1783,1223,1472,1350,10,4,34,267,5437,1737,966,1146,1305,6,4,23,250
PLST,MA,710,7100000US2502500090507000,2.50E+15,1,1,25,25,7000,905,A,3120,529,1338,783,244,11,0,25,190,2595,501,1153,551,202,7,0,20,161
PLST,MA,710,7100000US2502500100107000,2.50E+15,1,1,25,25,7000,1001,A,1562,346,419,505,235,2,0,20,35,1337,342,315,406,222,2,0,17,33
PLST,MA,710,7100000US2502500100207000,2.50E+15,1,1,25,25,7000,1002,A,2742,867,356,391,1025,0,0,9,94,2473,820,257,311,995,0,0,9,81
PLST,MA,710,7100000US2502500100307000,2.50E+15,1,1,25,25,7000,1003,A,2314,1145,196,350,494,3,0,29,97,2073,1083,156,255,467,3,0,27,82
PLST,MA,710,7100000US2502500100407000,2.50E+15,1,1,25,25,7000,1004,A,3624,983,450,750,1246,3,0,61,131,3146,938,356,571,1107,3,0,48,123
PLST,MA,710,7100000US2502500100507000,2.50E+15,1,1,25,25,7000,1005,A,2838,1601,282,331,458,4,1,22,139,2590,1513,237,257,442,2,1,15,123
PLST,MA,710,7100000US2502500100607000,2.50E+15,1,1,25,25,7000,1006,A,2137,547,489,769,203,1,0,25,103,1736,491,411,564,184,1,0,18,67
